Task ID,Task Link,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Subtasks IDs,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text,Home Location ID,Home Location,Other Location IDs,Other Locations
86exjhtve,https://app.clickup.com/t/86exjhtve,"TSK-12 Create course_enrollments table","",done,1778501893196,"5/11/2026, 3:18:13 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtqh,https://app.clickup.com/t/86exjhtqh,"TSK-02 Seed instructor user","",done,1778501864876,"5/11/2026, 3:17:44 PM GMT+3",,"",,"",86exjhr0q,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtt9,https://app.clickup.com/t/86exjhtt9,"TSK-10 Write student login tests","",done,1778501880193,"5/11/2026, 3:18:00 PM GMT+3",,"",,"",86exjhr0v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtvb,https://app.clickup.com/t/86exjhtvb,"TSK-11 Create courses table","",done,1778501892824,"5/11/2026, 3:18:12 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtxe,https://app.clickup.com/t/86exjhtxe,"TSK-19 Add /instructor/courses route","",done,1778501905577,"5/11/2026, 3:18:25 PM GMT+3",,"",,"",86exjhr11,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtzm,https://app.clickup.com/t/86exjhtzm,"TSK-22 Implement listActivities()","",done,1778501916484,"5/11/2026, 3:18:36 PM GMT+3",,"",,"",86exjhr1a,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtzc,https://app.clickup.com/t/86exjhtzc,"TSK-21 Create activities table","",done,1778501916014,"5/11/2026, 3:18:36 PM GMT+3",,"",,"",86exjhr1a,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhund,https://app.clickup.com/t/86exjhund,"TSK-37 Reject NOT_STARTED","",done,1778502008328,"5/11/2026, 3:20:08 PM GMT+3",,"",,"",86exjhr1v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu3b,https://app.clickup.com/t/86exjhu3b,"TSK-33 Add start/end routes","",done,1778501937866,"5/11/2026, 3:18:57 PM GMT+3",,"",,"",86exjhr1p,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtvk,https://app.clickup.com/t/86exjhtvk,"TSK-15 Implement require_student()","",done,1778501894862,"5/11/2026, 3:18:14 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtvn,https://app.clickup.com/t/86exjhtvn,"TSK-17 Test unauthorized access","",done,1778501895567,"5/11/2026, 3:18:15 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu1h,https://app.clickup.com/t/86exjhu1h,"TSK-29 Test create activity success/failure","",done,1778501927089,"5/11/2026, 3:18:47 PM GMT+3",,"",,"",86exjhr1e,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu18,https://app.clickup.com/t/86exjhu18,"TSK-25 Implement createActivity()","",done,1778501926064,"5/11/2026, 3:18:46 PM GMT+3",,"",,"",86exjhr1e,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu1a,https://app.clickup.com/t/86exjhu1a,"TSK-26 Validate required fields","",done,1778501926273,"5/11/2026, 3:18:46 PM GMT+3",,"",,"",86exjhr1e,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu1e,https://app.clickup.com/t/86exjhu1e,"TSK-28 Add create route","",done,1778501926743,"5/11/2026, 3:18:46 PM GMT+3",,"",,"",86exjhr1e,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu3a,https://app.clickup.com/t/86exjhu3a,"TSK-32 Block score logging after ENDED","",done,1778501937436,"5/11/2026, 3:18:57 PM GMT+3",,"",,"",86exjhr1p,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu32,https://app.clickup.com/t/86exjhu32,"TSK-30 Implement startActivity()","",done,1778501936576,"5/11/2026, 3:18:56 PM GMT+3",,"",,"",86exjhr1p,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhun9,https://app.clickup.com/t/86exjhun9,"TSK-36 Hide learning_objectives in student response","",done,1778502008016,"5/11/2026, 3:20:08 PM GMT+3",,"",,"",86exjhr1v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr1v,https://app.clickup.com/t/86exjhr1v,"US-I Student active activity access","",done,1778501634948,"5/11/2026, 3:13:54 PM GMT+3",,"",,"",null,"86exjhumz,86exjhun9,86exjhund,86exjhunk,86exjhunq,86exjhunu","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhumz,https://app.clickup.com/t/86exjhumz,"TSK-35 Implement getActivity()","",done,1778502007659,"5/11/2026, 3:20:07 PM GMT+3",,"",,"",86exjhr1v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhunk,https://app.clickup.com/t/86exjhunk,"TSK-38 Reject ENDED","",done,1778502008663,"5/11/2026, 3:20:08 PM GMT+3",,"",,"",86exjhr1v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhunu,https://app.clickup.com/t/86exjhunu,"TSK-40 Test all access cases","",done,1778502009270,"5/11/2026, 3:20:09 PM GMT+3",,"",,"",86exjhr1v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhunq,https://app.clickup.com/t/86exjhunq,"TSK-39 Reject non-enrolled student","",done,1778502008963,"5/11/2026, 3:20:08 PM GMT+3",,"",,"",86exjhr1v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr0v,https://app.clickup.com/t/86exjhr0v,"US-B Student auth","",done,1778501632825,"5/11/2026, 3:13:52 PM GMT+3",,"",,"",null,"86exjhtt5,86exjhtt7,86exjhtt8,86exjhtt9","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr0q,https://app.clickup.com/t/86exjhr0q,"US-A Instructor auth","",done,1778501632532,"5/11/2026, 3:13:52 PM GMT+3",,"",,"",null,"86exjhtqf,86exjhtqh,86exjhtqj,86exjhtqk,86exjhtqn,86exjhtqq","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtqk,https://app.clickup.com/t/86exjhtqk,"TSK-04 Implement instructorLogin()","",done,1778501865478,"5/11/2026, 3:17:45 PM GMT+3",,"",,"",86exjhr0q,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr1a,https://app.clickup.com/t/86exjhr1a,"US-E List activities","",done,1778501633696,"5/11/2026, 3:13:53 PM GMT+3",,"",,"",null,"86exjhtzc,86exjhtzm,86exjhtzp,86exjhtzv","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr1p,https://app.clickup.com/t/86exjhr1p,"US-H Start/end activity","",done,1778501634547,"5/11/2026, 3:13:54 PM GMT+3",,"",,"",null,"86exjhu32,86exjhu33,86exjhu3a,86exjhu3b,86exjhu3c","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr11,https://app.clickup.com/t/86exjhr11,"US-D List assigned courses","",done,1778501633388,"5/11/2026, 3:13:53 PM GMT+3",,"",,"",null,"86exjhtxb,86exjhtxe,86exjhtxh","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtqf,https://app.clickup.com/t/86exjhtqf,"TSK-01 Create users table","",done,1778501864646,"5/11/2026, 3:17:44 PM GMT+3",,"",,"",86exjhr0q,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtqj,https://app.clickup.com/t/86exjhtqj,"TSK-03 Implement password hashing/checking","",done,1778501865145,"5/11/2026, 3:17:45 PM GMT+3",,"",,"",86exjhr0q,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtqn,https://app.clickup.com/t/86exjhtqn,"TSK-05 Add /instructor/login route","",done,1778501865799,"5/11/2026, 3:17:45 PM GMT+3",,"",,"",86exjhr0q,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtqq,https://app.clickup.com/t/86exjhtqq,"TSK-06 Write instructor login tests","",done,1778501866185,"5/11/2026, 3:17:46 PM GMT+3",,"",,"",86exjhr0q,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhuzx,https://app.clickup.com/t/86exjhuzx,"TSK-61 Log manual grading event","",done,1778502050285,"5/11/2026, 3:20:50 PM GMT+3",,"",,"",86exjhr2p,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhv05,https://app.clickup.com/t/86exjhv05,"TSK-63 Test manual grade unauthorized case","",done,1778502050983,"5/11/2026, 3:20:50 PM GMT+3",,"",,"",86exjhr2p,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhr2k,https://app.clickup.com/t/86exjhr2k,"US-L Manual grading","",done,1778501635783,"5/11/2026, 3:13:55 PM GMT+3",,"",,"",null,"86exjhuwx,86exjhuwz,86exjhux1,86exjhux6","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhv67,https://app.clickup.com/t/86exjhv67,"TSK-69 Implement exportScores()","",done,1778502079381,"5/11/2026, 3:21:19 PM GMT+3",,"",,"",86exjhv40,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhv6d,https://app.clickup.com/t/86exjhv6d,"TSK-71 Test exported columns","",done,1778502079987,"5/11/2026, 3:21:19 PM GMT+3",,"",,"",86exjhv40,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhurm,https://app.clickup.com/t/86exjhurm,"TSK-51 Block tutoring if activity ENDED","",done,1778502020465,"5/11/2026, 3:20:20 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhu9d,https://app.clickup.com/t/86exjhu9d,"TSK-45 Test update cases","",done,1778501961648,"5/11/2026, 3:19:21 PM GMT+3",,"",,"",86exjhr1g,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuqr,https://app.clickup.com/t/86exjhuqr,"TSK-46 Create student_progress table","",done,1778502018707,"5/11/2026, 3:20:18 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuuq,https://app.clickup.com/t/86exjhuuq,"TSK-55 Implement +1 first-time objective scoring","",done,1778502028977,"5/11/2026, 3:20:28 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhr20,https://app.clickup.com/t/86exjhr20,"US-J Tutoring flow","",done,1778501635225,"5/11/2026, 3:13:55 PM GMT+3",,"",,"",null,"86exjhuqr,86exjhur1,86exjhur4,86exjhura,86exjhurd,86exjhurm,86exjhurq","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuuy,https://app.clickup.com/t/86exjhuuy,"TSK-58 Add completion celebration","",done,1778502029744,"5/11/2026, 3:20:29 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhur4,https://app.clickup.com/t/86exjhur4,"TSK-48 Implement first tutoring response","",done,1778502019356,"5/11/2026, 3:20:19 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhu9b,https://app.clickup.com/t/86exjhu9b,"TSK-43 Reject empty patch","",done,1778501961111,"5/11/2026, 3:19:21 PM GMT+3",,"",,"",86exjhr1g,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhr2p,https://app.clickup.com/t/86exjhr2p,"US-M Reset activity","",done,1778501636041,"5/11/2026, 3:13:56 PM GMT+3",,"",,"",null,"86exjhuzu,86exjhuzx,86exjhv01,86exjhv05","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhv40,https://app.clickup.com/t/86exjhv40,"Export Scores","",done,1778502070026,"5/11/2026, 3:21:10 PM GMT+3",,"",,"",null,"86exjhv67,86exjhv6c,86exjhv6d","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuux,https://app.clickup.com/t/86exjhuux,"TSK-57 Add mini-lesson response","",done,1778502029526,"5/11/2026, 3:20:29 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuum,https://app.clickup.com/t/86exjhuum,"TSK-54 Track achieved objectives","",done,1778502028703,"5/11/2026, 3:20:28 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhv01,https://app.clickup.com/t/86exjhv01,"TSK-62 Enforce instructor authorization","",done,1778502050617,"5/11/2026, 3:20:50 PM GMT+3",,"",,"",86exjhr2p,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuzu,https://app.clickup.com/t/86exjhuzu,"TSK-60 Implement manual grade helper","",done,1778502049973,"5/11/2026, 3:20:49 PM GMT+3",,"",,"",86exjhr2p,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhv6c,https://app.clickup.com/t/86exjhv6c,"TSK-70 Generate CSV string or file path","",done,1778502079621,"5/11/2026, 3:21:19 PM GMT+3",,"",,"",86exjhv40,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhu96,https://app.clickup.com/t/86exjhu96,"TSK-41 Implement updateActivity()","",done,1778501960569,"5/11/2026, 3:19:20 PM GMT+3",,"",,"",86exjhr1g,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhu9a,https://app.clickup.com/t/86exjhu9a,"TSK-42 Allow only activity_text and learning_objectives patch","",done,1778501960863,"5/11/2026, 3:19:20 PM GMT+3",,"",,"",86exjhr1g,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhu9c,https://app.clickup.com/t/86exjhu9c,"TSK-44 Reject non-existent activity","",done,1778501961390,"5/11/2026, 3:19:21 PM GMT+3",,"",,"",86exjhr1g,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhur1,https://app.clickup.com/t/86exjhur1,"TSK-47 Store conversation history","",done,1778502019021,"5/11/2026, 3:20:19 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhura,https://app.clickup.com/t/86exjhura,"TSK-49 Implement one-question-at-a-time logic","",done,1778502019702,"5/11/2026, 3:20:19 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhurd,https://app.clickup.com/t/86exjhurd,"TSK-50 Integrate OpenRouter/LLM call","",done,1778502020051,"5/11/2026, 3:20:20 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhurq,https://app.clickup.com/t/86exjhurq,"TSK-52 Test tutoring flow manually","",done,1778502020816,"5/11/2026, 3:20:20 PM GMT+3",,"",,"",86exjhr20,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuuk,https://app.clickup.com/t/86exjhuuk,"TSK-53 Create score_logs table","",done,1778502028473,"5/11/2026, 3:20:28 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuur,https://app.clickup.com/t/86exjhuur,"TSK-56 Prevent duplicate objective scoring","",done,1778502029207,"5/11/2026, 3:20:29 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuv0,https://app.clickup.com/t/86exjhuv0,"TSK-59 Test score and duplicate cases","",done,1778502029995,"5/11/2026, 3:20:29 PM GMT+3",,"",,"",86exjhr2c,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhr2c,https://app.clickup.com/t/86exjhr2c,"US-K Objective scoring","",done,1778501635501,"5/11/2026, 3:13:55 PM GMT+3",,"",,"",null,"86exjhuuk,86exjhuum,86exjhuuq,86exjhuur,86exjhuux,86exjhuuy,86exjhuv0","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuwx,https://app.clickup.com/t/86exjhuwx,"TSK-60 Implement manual grade helper","",done,1778502037919,"5/11/2026, 3:20:37 PM GMT+3",,"",,"",86exjhr2k,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhuwz,https://app.clickup.com/t/86exjhuwz,"TSK-61 Log manual grading event","",done,1778502038227,"5/11/2026, 3:20:38 PM GMT+3",,"",,"",86exjhr2k,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhux1,https://app.clickup.com/t/86exjhux1,"TSK-62 Enforce instructor authorization","",done,1778502038582,"5/11/2026, 3:20:38 PM GMT+3",,"",,"",86exjhr2k,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
86exjhux6,https://app.clickup.com/t/86exjhux6,"TSK-63 Test manual grade unauthorized case","",done,1778502038932,"5/11/2026, 3:20:38 PM GMT+3",,"",,"",86exjhr2k,"","[]","[]","[]",null,"Sprint 2","","LLMProject","","","{}","[]","0", "",,NaN,,"901818047271","LLMProject > Sprint 2","",""
